entity:ID,entity,:LABEL
00017cce-9e5f-6e5d-8ed7-44840d3c3c76,Parade,MISC
0005c75f-e8f7-4203-663c-76c4f6828b15,James McCaffrey,MISC
000a2861-80a2-86c2-93c4-c0e4cd668802,John Baldessari,MISC
000d6516-c1d0-c955-d215-f3c6f8878f71,Dish Network,MISC
000d9104-e4c8-3843-7ebd-bb4716d9cb91,Sussex County,MISC
00117f82-27c0-a14d-42f5-bab0cc1cd118,Shanghai Tang,ORG;MISC
00135e1e-0bc3-5132-7631-f1dfbd7a74a9,Lilo,MISC
0019925d-75cb-2afa-0756-0b87b1f278e4,Michael Balboni,MISC
002b17ca-05d2-a28a-9e94-eecb86741f9b,Drusilla,MISC
002b4f96-343e-f793-9e99-a1a35139dfb6,Cardiff,MISC
002bd07a-6629-9fc0-866c-6bfd8533ee83,Museum of Modern Art,MISC
004bd3e8-a54f-a6ad-5881-51cd7cdb7335,South Beach,MISC
004e598b-880c-87cb-5568-db9d4367cc6c,Nancy Huston,PER
00598513-dea9-3302-a9ca-7fabfcd50e39,Chelsea Handler,PER;MISC
00613fbd-5303-6645-1140-377a7cf1b03f,Matthew Lyons,MISC
006280f6-74d5-35b2-79f9-1da5a7e4bb82,Fred Thompson,MISC
00657f2f-acc0-d858-a18b-17efa33081b2,Jim Morrison,PER;MISC
006827f0-efe1-12be-b9e9-5b544b33ab65,Drew,MISC
00685ce6-eb2e-9a47-3d81-413bcbc19310,Gretchen Wilson,MISC
00699e23-f9df-0cf0-f577-a518e5f9cd31,Shanna,MISC
006b93dd-7b57-9cc4-45ad-d0ae1c84a469,Senate,LOC;MISC
006bab1d-e452-2154-88d2-19ec682f8115,Utah Street Networks,MISC
00701ec2-ca7f-6094-75b8-e5e180093b81,Chevrolet,MISC
007d842c-a96b-a872-62f4-a8cd7fcbe70d,Hoy,MISC
00851542-1836-5213-3458-ea8f89da7453,Baychester,LOC;MISC
0094c7bd-b88b-df40-655b-eb221e691dcb,Lamine,MISC
00a0796b-777b-b36c-cf2f-d12cc54e64dc,Steven Johnson,MISC
00acd98d-e9e2-8d48-345a-8ca49e4fe74f,Chelyabinsk,MISC
00ba3da9-2c03-f325-59df-18a4790bf910,McCann,MISC
00c59fb0-2377-c468-0b65-8a192480602b,Brian Mulroney,PER
00d17dbd-e698-90dd-2673-ef2f5da481ec,Kansas City,LOC;MISC
00d382c7-0866-8b4b-d100-b0886849a71f,Lorraine,MISC
00d93ca6-f2fd-945c-95ed-0c23b5fb78f6,Brian Anderson,MISC
00dc5c74-ac77-c56f-7d02-367147325e1e,Scotland,LOC;MISC
00dd4c7d-0e70-af7a-13f5-78b8fe422335,Hollywood,LOC;MISC
00e15f6e-de78-0fe2-719c-04aebba2a222,Louise Arbour,MISC
00e38245-57b6-5a64-21bd-388f74d1be41,Soviet Union,LOC;MISC
00e439b1-d168-0fd2-f08b-97da3bf9ace5,Kronach,LOC
00ee4327-b5b6-b99d-7c1a-cf89a19553c0,Alfred,MISC
00eeb39c-e01e-fc13-64ae-76fc74507a31,Tom Flores,MISC
00f066c0-16b1-938f-394b-8468b3800aac,Kenneth,MISC
